,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,Assoc,,Addl,Earthquake Location,,,Earthquake Parameters,,,Earthquake Effects,,,,,,,,,,,,"Total Effects (Earthquake and Tsunami, Volcano, etc.)",,,,,,,,,,,
,,,,,,,,EQ,,,,Focal,Mag,MMI Int,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,
,,,,,,,,Info,,,,Depth,,,,,,,,,,,Destroyed,,Damaged,,,,,,,,,,Destroyed,,Damaged,
Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,,Name,Latitude,Longitude,,,,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De
1935,1,4,14,41,,,,*,TURKEY,40.5,27.5,7,6.2,10,5,1,,,,,,2,,,,,,,,,,,,,,,,
1935,4,11,23,15,,,,*,"IRAN: KEVSUT, ALBORZ, SARI",36.3,53.5,14,6.3,9,690,3,,,,,,3,,,,,,,,,,,,,,,,
1935,5,30,21,32,46,Tsu,,*,PAKISTAN: QUETTA,29.5,66.8,33,7.5,10,60000,4,,,,,25,4,,4,,4,60000,4,,,,,25,4,,4,,
1935,12,28,2,35,22,Tsu,,*,"INDONESIA: N SUMATERA: BATU I,PADANG,SIBOLGA",,98.25,33,7.9,8,,,,,,1,,2,,2,,,,,,,,1,,2,,2,,
1936,4,1,2,9,15,Tsu,,*,INDONESIA: TALAUD ISLANDS,4.5,126.5,60,7.7,9,,,,,3,1,,2,169,3,,,,,,,3,1,,2,169,3,,
1936,6,30,15,6,,,,*,RUSSIA: KOMANDORSKY ISLAND,55,165,20,7.2,10,,,,,,,,,,,,,,,,,,,,,,,,
1937,1,7,13,20,41,,,*,CHINA: QINGHAI PROVINCE,35.5,97.6,60,7.5,10,,,,,,,,1,,,,,,,,,,,,1,,,,
1937,8,20,11,59,16,Tsu,,*,PHILIPPINES: LUZON,14.5,121.5,60,7.5,8,1,1,,,200,3,,3,,3,,3,1,1,,,200,3,,3,,3,,
1937,9,27,8,55,10,,,*,"INDONESIA: JAVA: JOGYAKARTA: KLUMPIT,PRAMBANAN",-9.4,110.2,70,7.2,9,1,1,,,,,,3,326,3,2200,4,1,1,,,,,,3,326,3,2200,4
1937,11,14,10,58,12,,,*,AFGHANISTAN: HINDU KUSH,36.5,70.5,240,7.2,7,,,,,,,,3,,,,,,,,,,,,3,,,,
1937,12,24,6,20,,,,*,"PERU: HUANCABAMBA,OXAPAMPA,EL PROGRESO,SAN DAVID",-10.5,-76.5,10,6.2,10,15,1,,,,,,2,,,,,,,,,,,,,,,,
1938,4,19,10,59,,,,*,TURKEY: KIRSEHIR,39.4,33.8,33,6.7,10,224,3,,,,,,3,,,,,,,,,,,,,,,,
1938,8,10,2,2,,,,*,"ECUADOR: ALANGASI,SANGOLQUI,TINGO-PICHINCHA",-0.3,-78.4,10,6.3,10,,,,,,,,,,,,,,,,,,,,,,,,
1938,11,10,20,18,41.2,Tsu,,*,ALASKA,55.48,-158.37,25,8.2,6,,,,,,,,,,,,,,,,,,,,,,,,
1939,1,25,3,32,14,Tsu,,*,CHILE: CHILLAN,-36.25,-72.25,60,8.3,10,30000,4,,,,,920,4,,4,,,30000,4,,,,,920,4,,4,,
1939,5,6,17,0,7,Tsu,,*,"PHILIPPINES: LUZON ISLAND, MINDOR ISLAND",13.5,121.25,110,6.5,5,,,,,,,,,,,,,,,,,,,,,,,,
1939,5,8,1,46,52.9,Tsu,,*,AZORES: ATLANTIC,37.053,-24.427,16,6.5,10,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,22,19,19,26,Tsu,,*,GHANA: ACCRA,5.18,-0.13,13,6.4,9,22,1,,,130,3,,3,1500,4,,,22,1,,,130,3,,3,1500,4,,
1939,11,21,8,43,,,,*,TURKEY: ERZINCAN,39.7,40.4,80,5.9,7,13,1,,,,,,2,,,,,,,,,,,,,,,,
1939,12,26,23,57,22.6,Tsu,,*,TURKEY: ERZINCAN,39.77,39.533,35,7.7,12,32700,4,,,,,20,3,,4,,,32700,4,,,,,20,3,,4,,
1940,1,15,13,19,24,Tsu,,*,ITALY,38.1,13.5,15,4.8,8,,,,,,,,,,,,,,,,,,,,,,,,
1940,5,19,4,36,40.9,,,*,CALIFORNIA; MEXICO,32.733,-115.5,16,7.2,10,9,1,,,,,33,4,,,,,9,1,,,,,33,4,,,,
1940,5,24,16,33,57,Tsu,,*,PERU,-10.5,-77,60,8.2,10,179,3,,,3500,4,,3,,3,,,179,3,,,3500,4,,3,,3,,
1940,8,1,15,8,24,Tsu,,*,JAPAN: W. HOKKAIDO ISLAND,44.2,139.5,10,7.5,9,,,,,,,,1,,,,,10,1,,,,,,2,20,1,,
1940,11,10,1,39,,,,*,ROMANIA,45.8,26.8,150,7.3,10,1000,3,,,,,10,3,,,,,,,,,,,,,,,,
1941,4,15,19,9,,,,*,"MEXICO: MICHOACAN, COLIMA, JALISCO",18.9,-102.9,60,7.9,7,,,,,,,,,,,,,,,,,,,,,,,,
1941,9,10,21,53,,,,*,"TURKEY: VAN, ERCIS",39.5,43.3,28,6,8,430,3,,,,,,,,,,,,,,,,,,,,,,
1941,11,12,10,4,,,,*,TURKEY: ERZINCAN,39.7,39.4,70,5.9,8,15,1,,,,,,,,,,,,,,,,,,,,,,
1942,5,14,2,13,,,,*,ECUADOR: GUAYAQUIL,-0.75,-81.5,30,7.9,9,200,3,,,,,2.5,2,,3,,,200,3,,,,,2.5,2,,3,,
1942,8,24,22,50,27,Tsu,,*,"PERU: ICA, NAZCA",-15,-76,60,8.2,9,30,1,,,25,1,,3,,3,,,30,1,,,25,1,,3,,3,,
1942,8,27,6,14,11,,,*,"ALBANIA: PESHKOPIA, MAGELLARE",41.7,20.4,33,6,10,43,1,,,110,3,,3,,3,,,43,1,,,110,3,,3,,3,,
1942,12,29,3,42,,,,*,BALKANS NW: CROATIA,43.4,17.2,15,6,10,,,,,,,,,,,,,,,,,,,,,,,,
1943,1,30,5,33,3,,,*,ECUADOR: GUAYAQUIL,-2.1,-80.5,100,6.9,6,,,,,,,,2,,,,3,,,,,,,,2,,,,3
1943,2,22,9,20,,,,*,MEXICO: GUERRERO: PARICUTIN VOLCANO FORMS,16.7,-101.5,60,7.5,7,11,1,,,,,,3,,,,,,,,,,,,,,,,
1943,6,20,15,33,,,,*,"TURKEY: HENDEK, ADAPAZARI",40.6,30.5,15,6.2,10,285,3,,,,,,3,,,,,,,,,,,,,,,,
1943,7,23,14,53,9,,,*,INDONESIA: JAVA: JOGYAKARTA,-9.5,110,90,8.1,8,213,3,,,2096,4,,3,,,2800,4,213,3,,,2096,4,,3,,,2800,4
1943,11,26,22,20,36,,,*,"TURKEY: LADIK, SAMSUN, HAVZA",41,33.7,33,7.6,11,4020,4,,,5000,4,,4,40000,4,,,4020,4,,,5000,4,,4,40000,4,,
1944,2,1,3,23,,,,*,TURKEY,41.4,32.7,33,7.4,10,2381,4,,,,,,3,,,,,,,,,,,,,,,,
1944,4,5,,,,,,*,IRAN: GORGAN,36.8,54.5,7,4.8,8,20,1,,,,,,2,,,,,,,,,,,,,,,,
1944,6,25,4,16,,,,*,TURKEY: USAK,38.9,29.3,33,6,8,21,1,,,,,,,,,,,,,,,,,,,,,,
1944,7,30,4,,,,,*,GREECE: KAMPOS (LACONIA),36.7,22.5,8,5.7,10,,,,,,,,,,,,,,,,,,,,,,,,
1944,9,5,4,38,45.7,,,*,NEW YORK: MASSENA,44.957,-74.723,12,5.6,8,,,,,,,2,2,,,,,,,,,,,2,2,,,,
1945,3,20,7,59,,,,*,"TURKEY: AELANA, CEYHAN, ADANA",37.4,35.8,60,6,7,300,3,,,,,,,,,,,,,,,,,,,,,,
1945,11,27,21,56,50,Tsu,,*,PAKISTAN: MAKRAN COAST,24.5,63,15,8,10,4000,4,,,,,25,4,,,,,4000,4,,,,,25,4,,,,
1946,2,21,15,43,,,,*,"TURKEY: IIGIN, KONYA",38.2,31.8,60,5.6,8,12,1,,,,,,,,,,,,,,,,,,,,,,
1946,4,1,12,29,1.3,Tsu,,*,ALASKA: UNIMAK ISLAND,53.492,-162.832,15,8.6,6,,,,,,,,,,,,,167,3,,,,,26.271,4,,3,,
1946,9,30,0,59,40,Tsu,,*,PERU: PISCO,-14,-76.25,70,7,7,,,,,,,,2,,,,3,,,,,,,,2,,,,3
1946,11,2,18,28,,,,*,KYRGYZSTAN,41.5,72.5,35,7.6,10,,,,,,,,2,,,,,,,,,,,,,,,,
1946,11,10,17,42,,,,*,"PERU: JOCAIBAMBA,CERRO ANGASCHAJ,CERRO SILLAPATA",-8.5,-77.5,12,7.3,11,800,3,,,,,,3,,,,,,,,,,,,,,,,
1947,3,25,20,32,15,Tsu,,*,NEW ZEALAND: OFF COAST NORTH ISLAND,-38.85,178.87,12,7.1,4,,,,,,,,1,,1,,,,,,,,,,1,,1,,
1947,7,10,15,,,,,*,IRAN: SHIRVAN,37.5,57.8,9,4.1,7,,,,,,,,2,,,,,,,,,,,,,,,,
1947,10,6,19,55,37,Tsu,,*,GREECE: S: PYLIA (MESSINIA),37,22,28,6.9,9,3,1,,,20,1,,4,7000,4,,,3,1,,,20,1,,4,7000,4,,
1947,11,1,14,58,,,,*,"PERU: SATIPO,ANDAMARCA,ACOBAMBA,LA MERCED,VICTOC",-10.5,-75,100,7.3,10,233,3,,,,,,3,,,,,,,,,,,,,,,,
1948,1,24,17,46,40,Tsu,,*,"PHILIPPINES: PANAY, ILOILO CITY, ANTIQUE",10.5,122,33,8.3,9,72,2,,,,,3.5,2,,3,,3,74,2,,,,,3.5,2,,3,,3
1948,2,9,12,58,13,Tsu,,*,GREECE: DODECANESE ISLANDS,35.5,27,30,7.1,10,,,,,,,,,,,,,,,,,,,,1,,,,
1948,4,22,10,42,47.1,Tsu,,*,GREECE: VASILIKI (LEUKAS),38.532,20.425,15,6.5,10,2,1,,,45,1,,3,244,3,2022,4,2,1,,,45,1,,,244,3,2022,4
1948,5,11,8,56,,,,*,"PERU: AREQUIPA,MOQUEGUA,TACNA,TORATA,QUELLAVECO",-17.4,-71,60,7.1,10,1,1,,,,,,2,,,,,,,,,,,,,,,,
1948,5,25,7,11,21,,,*,CHINA: SICHUAN PROVINCE,29.5,100.5,18,7.3,10,800,3,,,200,3,,3,600,3,,,800,3,,,200,3,,3,600,3,,
1948,5,28,5,37,,,,*,PERU: CANETE,-13.1,-76.2,55,6.8,7,4,1,,,,,,2,,,,,,,,,,,,,,,,
1948,6,30,12,21,,,,*,GREECE: TSOUKALADES-KALAMITSI (LEUKAS),38.5,20.5,33,6.4,11,6,1,,,,,,2,,,,,,,,,,,,,,,,
1948,10,5,20,12,7,,,*,TURKMENISTAN: ASHKHABAD,37.95,58.32,18,7.3,10,110000,4,,,,4,25,4,,4,,,110000,4,,,,4,25,4,,4,,
1948,12,26,7,12,21,Tsu,,*,CHILE: ANTOFAGASTA,-22.5,-69,100,7,7,,,,,,,,,,,,,,,,,,,,,,,,
1949,3,4,10,19,25,,,*,"AFGHANISTAN: HINDU-KUSH, WEST PUNJAB",36,70.5,230,7.5,8,,,,,,,,2,,,,,,,,,,,,2,,,,
1949,7,10,3,53,38,,,*,TAJIKISTAN,39.2,70.8,16,7.4,10,3500,4,,,,,,4,,4,,,3500,4,,,,,,4,,4,,
1949,8,4,19,8,,,,*,ECUADOR: PELILEO,-1.4,-78.5,10,6.7,10,,,,,,,,,,,,,,,,,,,,,,,,
1950,1,30,0,56,32,Tsu,,*,CHILE: SOUTHERN,-53.5,-71.5,33,7,6,,1,,,,,,,,,,,,1,,,,,,,,,,
1950,2,28,10,20,,,,*,RUSSIA: SEA OF OKHOTSK,46,144,340,7.9,6,,,,,,,,,,,,,,,,,,,,,,,,
1950,8,5,19,8,,,,*,ECUADOR,-1.5,-78.2,60,6.8,11,,,,,,,,,,,,,,,,,,,,,,,,
1950,8,15,14,9,30,Tsu,,*,INDIA-CHINA,28.5,96.5,33,8.6,11,1530,4,,,,,20,3,,,,,1530,4,,,,,20,3,,,,
1950,12,9,21,38,48,,,*,CHILE-ARGENTINA,-23.5,-67.5,100,8,7,1,1,,,,2,,,,,,,1,1,,,,2,,,,,,
1950,12,14,1,52,46,,,*,TONGA ISLANDS,-19.5,-176,200,7.7,6,,,,,,,,,,,,,,,,,,,,,,,,
1950,12,14,14,15,49,Tsu,,*,MEXICO: ACAPULCO,16.48,-98.22,50,7.5,5,,,,,,,,3,,,,,,,,,,,,3,,,,
1952,3,4,1,22,41,Tsu,,*,JAPAN: HOKKAIDO,42.15,143.85,45,8.1,9,33,1,,,,3,,3,,3,,,33,1,,,572,3,,3,2422,4,,
1952,7,21,11,52,14,,,*,CALIFORNIA: KERN COUNTY,35,-119.017,16,7.7,11,12,1,,,,3,60,4,,3,,2,12,1,,,,3,60,4,,3,,2
1952,8,22,22,41,24,,,*,CALIFORNIA: KERN COUNTY,35.333,-118.917,16,5.8,8,2,1,,,,2,10,3,90,2,,,2,1,,,,,10,3,90,2,,
1952,11,4,16,58,27.9,Tsu,,*,RUSSIA: KAMCHATKA PENINSULA,52.755,160.057,22,9,7,,1,,,,,,,,,,,10000,4,,,,,,3,,,,
1953,5,6,17,16,43,Tsu,,*,"CHILE: CHILLAN, CONCEPCION",-36.5,-72.5,60,7.6,10,9,1,,,26,1,500,4,,,,,9,1,,,26,1,500,4,,,,
1953,8,11,3,32,,,,*,GREECE: ASPROGERAKAS (KEPHALLENIA),38.1,20.6,33,6.8,9,,,,,,,,,,,,,,,,,,,,,,,,
1953,12,12,17,31,25,Tsu,,*,OFF COAST OF PERU,-3.4,-80.6,30,7.4,9,6,1,,,20,1,,2,200,3,,,6,1,,,20,1,,2,200,3,,
1954,2,28,18,9,,,,*,AUSTRALIA: ADELAIDE: S,-34.9,138.7,4,5.4,8,,,,,,,,2,,,,,,,,,,,,,,,,
1955,3,31,18,18,,,,*,"PHILIPPINES: MINDANAO: LANAO,OZAMIZ,COTABATO",8.1,123.2,96,7.6,8,400,3,,,,,5,2,,,,,,,,,,,,,,,,
1955,4,19,16,47,19,Tsu,,*,GREECE: DRAKIA-AGRIA (MAGNESIA),39.4,23.1,33,6.2,10,8,1,,,149,3,,4,459,3,8352,4,8,1,,,149,3,,4,459,3,8352,4
1955,4,19,20,24,5,Tsu,,*,CHILE,-30,-72,30,7.1,6,,,,,,,,,,,,,1,1,,,,,,1,,1,,
1955,9,23,15,6,23,Tsu,,*,CHINA: YUNNAN PROVINCE,26.6,101.8,10,6.8,9,,1,,,,,,3,15000,4,,,,1,,,,,,3,15000,4,,
1956,1,31,2,25,,,,*,"BALKANS NW: SLOVENIA: ILIRSKA BISTRICA,KOSEZE",45.5,14.3,7,4.5,7,,,,,,,,2,,,,,,,,,,,,,,,,
1956,7,9,3,11,39,Tsu,,*,GREECE: DODECANESE,36.9,26,20,7.8,9,53,2,,,,,,3,,,,,56,2,,,,,,3,,,,
1956,10,11,2,24,,,,*,RUSSIA: KURIL ISLANDS,46,150.5,110,7.6,7,,,,,,,,,,,,,,,,,,,,,,,,
1957,4,25,2,25,,,,*,"TURKEY: FETHIYE (LYCIA, ASIA MINOR)",36.4,28.7,18,7.1,10,18,1,,,,,,,,,,,,,,,,,,,,,,
1957,6,27,0,9,28,,,*,RUSSIA: CHITA,56.2,116.4,15,7.6,10,,,,,,,,2,,,,,,,,,,,,2,,,,
1957,7,2,0,42,,,,*,"IRAN: HAZANDERAN, ABEGARM",36.1,52.7,14,6.6,9,1100,4,,,,,,3,,,,,,,,,,,,,,,,
1957,7,28,8,40,1,Tsu,,*,"MEXICO: ACAPULCO,MEXICO CITY",16.5,-99.1,25,7.9,7,65,2,,,,3,25,4,,3,,,65,2,,,,3,25,4,,3,,
1957,7,29,17,15,14,Tsu,,*,CHILE: ANTOFAGASTA,-23.5,-71.5,33,7,3,,,,,,,,,,,,,,,,,,,,,,,,
1957,12,4,3,37,45,,,*,MONGOLIA,45.5,99.5,33,8.1,11,30,1,,,,,,2,,,,,30,1,,,,,,2,,,,
1958,1,15,19,14,,,,*,PERU: AREQUIPA,-16.5,-72,60,7.3,9,28,1,,,,,,2,,,,,,,,,,,,,,,,
1958,1,19,14,7,27,Tsu,,*,COLOMBIA-ECUADOR,1.5,-79.5,60,7.6,9,111,3,,,46,1,,2,,2,,,115,3,,,46,1,,2,,2,,
1958,7,10,6,15,59.9,Tsu,,*,ALASKA: LITUYA BAY,58.37,-136.665,35,7.8,11,,,,,,,,1,,1,,,5,1,,,,,0.1,1,,1,,
1958,10,20,1,12,37,,,*,INDONESIA: JAVA: MALANG,-9.5,112.5,100,6.7,8,8,1,,,1856,4,,2,95,2,206,3,8,1,,,1856,4,,2,95,2,206,3
1958,11,6,22,58,8.6,Tsu,,*,RUSSIA: KURIL ISLANDS: S,44.53,148.54,40,8.3,10,,,,,,,,2,,,,,,,,,,,,,,,,
1959,2,7,9,36,51,Tsu,,*,PERU-ECUADOR,-4,-81.5,19,7.4,7,,,,,,,,1,,,,1,,,,,,,,1,,,,1
1959,5,4,7,15,42,Tsu,,*,RUSSIA: NEAR EAST COAST OF KAMCHATKA,52.5,159.5,60,8.2,10,1,1,,,13,1,,2,,2,,,1,1,,,13,1,,2,,2,,
1959,6,18,15,31,,,,*,RUSSIA: NEAR KAMCHATKA,53.9,160.5,15,7,10,,,,,,,,,,,,,,,,,,,,,,,,
1959,8,18,6,37,13.5,Tsu,,*,MONTANA: HEBGEN LAKE,44.712,-111.215,5,7.7,10,28,1,,,,,11,3,,,,,28,1,,,,,11,3,,,,
1959,9,1,11,37,,,,*,ALBANIA,40.9,19.8,11,6.1,10,2,1,,,,,,3,,,,,,,,,,,,,,,,
1960,1,13,15,40,34,Tsu,,*,"PERU: AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI",-15.75,-72.75,160,7.8,10,63,2,,,200,3,,3,,3,,,63,2,,,200,3,,3,,3,,
1960,2,29,23,40,14,Tsu,,*,MOROCCO: AGADIR,30.45,-9.62,33,5.9,10,13100,4,,,25000,4,120,4,,3,,,13100,4,,,25000,4,120,4,,3,,
1960,5,22,19,11,17,Tsu,Vol,*,"CHILE: PUERTO MONTT, VALDIVIA",-38.143,-73.407,33,9.5,12,2000,4,,,3000,4,1000,4,58622,4,,,2226,4,,,3000,4,1000,4,58622,4,,
1961,3,16,13,45,35.6,,,*,INDONESIA: FLORES: ENDEH,-8.2,122,74,6.5,8,2,1,,,6,1,,2,,,,,2,1,,,6,1,,2,,,,
1961,6,1,23,29,21.2,,,*,ETHIOPIA: KARAKORE,10.4,39.9,33,6.5,9,30,1,,,,3,,2,,,,,30,1,,,,3,,2,,,,
1961,6,11,17,15,33,,,*,CHINA: YUNNAN PROVINCE,24.97,98.63,33,5.8,8,,,,,,,,3,5740,4,,,,,,,,,,3,5740,4,,
1961,6,27,7,3,41,,,*,CHINA: YUNNAN PROVINCE,27.73,99.75,25,6,8,,,,,,,,3,11400,4,,,,,,,,,,3,11400,4,,
1962,1,7,10,3,,,,*,BALKANS NW: CROATIA,43.3,17.1,33,5.9,8,4,1,,,,,,2,,,,,4,1,,,,,,2,,,,
1962,1,11,5,5,,Tsu,,*,BALKANS NW: CROATIA,43.3,17.1,33,6.1,9,1,1,,,,,,2,2290,4,,,1,1,,,,,,2,2290,4,,
1962,3,18,20,18,53,,,*,CHINA: GUANGDONG PROVINCE,23.72,114.67,25,6.1,8,1,1,,,2,1,,3,1200,4,,,1,1,,,2,1,,3,1200,4,,
1962,5,11,14,11,54.1,Tsu,,*,MEXICO: S,17.2,-99.6,40,7,8,4,1,,,,3,,2,,2,,,4,1,,,,3,,2,,2,,
1962,6,24,1,21,18,,,*,CHINA: YUNNAN PROVINCE,25.2,101.2,18,6.2,7,,,,,,,,3,2550,4,,,,,,,,,,3,2550,4,,
1962,9,1,19,20,39.9,,,*,IRAN: BUYIN-ZARA,35.63,49.87,27,7.2,9,12225,4,,,2776,4,30,4,21310,4,,,12225,4,,,2776,4,30,4,21310,4,,
1962,10,5,20,2,,,,*,"IRAN: TORBAT HEYDARIYEH, AKHMEDABAD",35.1,58.7,8,5,8,6,1,,,,,,2,,,,,,,,,,,,,,,,
1963,1,31,2,27,,,,*,"IRAN: KHENDODZHAN, DAKHNE-UDZHAK",36.9,57.8,3,4.5,9,4,1,,,,,,2,,,,,,,,,,,,,,,,
1963,5,19,10,,,,,*,BALKANS NW: SLOVENIA: LJUBLJANA,46.1,14.8,13,4.9,7,,,,,,,,2,,,,,,,,,,,,,,,,
1963,7,26,4,17,12,,,*,BALKANS NW: MACEDONIA: SKOPJE,42.1,21.3,5,6,10,1070,4,,,3300,4,1000,4,,4,,,1070,4,,,3300,4,1000,4,,4,,
1963,10,13,5,17,53.4,Tsu,,*,RUSSIA: KURIL ISLANDS,44.77,149.798,13,8.5,9,,,,,,,,1,,,,,,,,,,,,1,,,,
1964,2,13,10,3,53,,,*,CHINA: YUNNAN PROVINCE,26.1,101,15,5.4,7,,,,,,,,1,,,,,,,,,,,,1,,,,
1964,3,28,3,36,,Tsu,,*,ALASKA,61.017,-147.648,33,9.2,10,15,1,,,,,284,4,,3,,,139,3,,,,,400,4,,3,,
1964,4,2,1,11,51,Tsu,,*,INDONESIA: BANDA ACEH,5.9,95.7,130,7,7,,,,,,,,3,,3,,,,,,,,,,3,,3,,
1964,4,13,8,30,,,,*,BALKANS NW: CROATIA,45.3,18.1,32,6,8,3,1,,,,,,3,,,,,,,,,,,,,,,,
1964,6,16,4,1,44.3,Tsu,,*,JAPAN: HONSHU: W COAST,38.65,139.2,40,7.5,5,26,1,,,450,3,80,4,2250,4,2250,4,26,1,,,450,3,80,4,2250,4,,
1964,10,6,14,31,,,,*,"TURKEY: MANYAS, BURSA, BALIKESIR",40.3,28.2,15,7,10,19,1,,,,,5,2,,,,,,,,,,,,,,,,
1964,11,17,8,15,39.3,Tsu,,*,PAPUA NEW GUINEA: NEW BRITAIN,-5.7,150.7,45,7.6,8,,,,,,,,1,,,,,,,,,,,,1,,,,
1965,1,12,17,18,9,,,*,CHINA: SHANXI PROVINCE,35,111.63,10,5.5,7,,,,,,,,2,,3,,,,,,,,,,2,,3,,
1965,2,4,5,1,21.6,Tsu,,*,ALASKA: ALEUTIAN ISLANDS: RAT ISLANDS,51.29,178.55,36,8.7,6,,,,,,,,1,,,,,,,,,,,0.01,1,,,,
1965,3,14,15,53,6.6,,,*,AFGHANISTAN,36.3,70.7,219,7.3,7,,,,,,,,1,,,,,,,,,,,,,,,,
1965,3,22,22,56,28,Tsu,,*,CHILE: CENTRAL,-31.81,-71.26,58,6,6,,,,,,,,,,,,,,,,,,,,,,,,
1965,3,31,9,47,,,,*,GREECE,38.6,22.4,78,7.1,10,6,1,,,,,,2,,,,,,,,,,,,,,,,
1965,4,5,3,12,54.2,,,*,GREECE: SOUTHERN,37.7,21.8,34,6.2,10,32,1,,,200,3,,3,,3,,,32,1,,,200,3,,3,,3,,
1965,4,29,15,28,43.7,,,*,WASHINGTON: SEATTLE,47.4,-122.3,59,6.6,8,7,1,,,,,28,4,,,,,7,1,,,,,28,4,,,,
1965,5,3,10,1,35.2,,,*,EL SALVADOR: SAN MARCOS,13.5,-89.3,23,6,6,125,3,,,1138,4,35,4,,,,,125,3,,,1138,4,35,4,,,,
1965,7,3,11,26,12,,,*,CHINA: YUNNAN PROVINCE,22.4,101.6,15,6.1,7,,,,,,,,1,,,,,,,,,,,,1,,,,
1965,7,6,3,18,42.7,Tsu,,*,NORTH CORINTH GULF,38.267,22.3,18,6.3,8,1,1,,,6,1,,2,,,,,2,1,,,6,1,,2,,,,
1965,10,3,16,14,56,Tsu,,*,CHILE: SOUTHERN,-42.9,-75.13,28,6.5,3,,,,,,,,,,,,,,,,,,,,,,,,
1966,3,7,1,16,,,,*,"TURKEY: VARTO, MUS",39.1,41.6,38,6,8,10,1,,,,,,3,,,,,,,,,,,,,,,,
1966,3,7,21,29,17,,,*,CHINA: HEBEI PROVINCE,37.35,114.92,8,7.4,9,,3,,,,,,4,,4,,,,3,,,,,,4,,4,,
1966,3,22,8,19,27,,,*,CHINA: HEBEI PROVINCE,37.5,115.1,15,7.6,10,,3,,,,,,4,,4,,,,3,,,,,,4,,4,,
1966,6,27,10,41,9.5,,,*,NEPAL-INDIA,29.554,80.854,23,6.3,8,80,2,,,100,2,1,2,5200,4,,,80,2,,,100,2,1,2,5200,4,,
1966,7,12,18,53,,Tsu,,*,RUSSIA: BLACK SEA,44.75,37,33,5.5,6,,,,,,,,,,,,,,,,,,,,,,,,
1966,8,19,12,22,,,,*,TURKEY: VARTO,39.2,41.6,24,6.8,9,2394,4,,,,,20,3,,,,,,,,,,,,,,,,
1966,9,1,14,13,48,,,*,GREECE: SOUTHERN,37.5,22.1,17,5.9,8,1,1,,,25,1,14,3,180,3,,,,,,,25,1,14,3,180,3,,
1966,10,17,21,41,56,Tsu,,*,"PERU: LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS",-10.748,-78.638,38,8.1,9,110,3,,,3000,4,35,4,,,,,110,3,,,3000,4,35,4,,,,
1966,12,28,8,18,7.4,Tsu,,*,"CHILE: TALTAL, CATALINA",-25.5,-70.7,47,7.8,8,3,1,,,6,1,0.4,1,,3,,,3,1,,,6,1,0.4,1,,3,,
1967,1,5,0,14,,,,*,MONGOLIA,48.1,102.8,35,7.5,10,,,,,,,,1,,,,,,,,,,,,,,,,
1967,2,9,15,24,,,,*,"COLOMBIA: HUILA, NEIVA, RIVERA,SAN ANTONIO",2.9,-74.9,60,6.8,9,98,2,,,,,20,3,,,,,,,,,,,,,,,,
1967,2,19,22,14,35.3,,,*,"INDONESIA: JAVA: DAMPIT,GONDANG,TRENGGALEK",-9.2,113.1,80,6.8,9,54,2,,,300,3,,3,2000,4,5000,4,54,2,,,300,3,,3,2000,4,5000,4
1967,3,19,4,1,38.5,Tsu,,*,RUSSIA: KURIL ISLANDS,45.53,151.11,38,7,8,,,,,,,,,,,,,,,,,,,,,,,,
1967,3,27,8,58,20,,,*,"CHINA: HEBEI PROVINCE: HEJIAN, DACHENG",38.5,116.5,30,6.3,7,,,,,,,,3,53886,4,,,,,,,,,,3,53886,4,,
1967,7,22,16,57,,,,*,"TURKEY: MUDURNU, ADAPAZARI",40.7,30.8,4,7.3,10,86,2,,,,,3,2,,,,,,,,,,,,,,,,
1967,7,29,23,59,58.7,Tsu,,*,VENEZUELA,10.6,-67.3,10,6.5,8,300,3,,,1536,4,140,4,,,,,300,3,,,1536,4,140,4,,,,
1967,8,13,22,7,47.5,,,*,"FRANCE: ARETTE,LANNE,MONTORY,ARAMITS,HAUX,SUNHAR",43.2,-0.5,15,5.3,8,1,1,,,80,2,,2,,3,,,,1,,,80,2,,2,,3,,
1967,8,30,4,22,3,,,*,CHINA: SICHUAN PROVINCE,31.6,100.3,10,6.8,9,,,,,,,,4,,4,,,,,,,,,,4,,4,,
1967,11,30,7,23,,,,*,ALBANIA,41.5,20.5,29,6.5,10,18,1,,,,,20,3,,,,,,,,,,,,,,,,
1967,12,2,20,5,48,,,*,CHINA: HEBEI PROVINCE: SHULU,37.717,115.217,25,5.7,7,,,,,,,,2,,1,,,,,,,,,,2,,1,,
1967,12,10,22,51,,,,*,INDIA,17.7,73.9,33,6.5,8,180,3,,,,,0.4,1,,,,,,,,,,,,,,,,
1967,12,18,14,7,45,,,*,CHINA: SHANXI PROVINCE,36.467,111.217,30,5.4,6,,,,,,,,1,,1,,,,,,,,,,1,,1,,
1968,2,12,5,44,,,,*,PAPUA NEW GUINEA: NEW IRELAND,-5.5,153.2,74,7.8,8,,,,,,,,1,,,,,,,,,,,,,,,,
