,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,Assoc,,Addl,Earthquake Location,,,Earthquake Parameters,,,Earthquake Effects,,,,,,,,,,,,"Total Effects (Earthquake and Tsunami, Volcano, etc.)",,,,,,,,,,,
,,,,,,,,EQ,,,,Focal,Mag,MMI Int,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,
,,,,,,,,Info,,,,Depth,,,,,,,,,,,Destroyed,,Damaged,,,,,,,,,,Destroyed,,Damaged,
Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,,Name,Latitude,Longitude,,,,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De
1669,1,4,,,,,,*,AZERBAIJAN: SHEMAKHA (SEMACHA),40.6,48.6,5,5.7,9,7000,4,,,,,,3,,,,,,,,,,,,,,,,
1678,6,18,1,45,,Tsu,,*,"PERU: LIMA,SALINAS-HUAURA,LIMA,CALLAO,CHANCAY",-9,-79,40,8.4,9,,3,,,,,,3,,3,,,,3,,,,,,3,,3,,
1687,10,20,10,30,,Tsu,,*,PERU: LIMA,-13.5,-76.5,30,8.5,10,5000,4,,,,,,3,,,,,5000,4,,,,,,3,,,,
1688,,,,,,,,*,RUSSIA: TERSK,43.7,44.7,15,5.3,7,,,,,,,,2,,,,,,,,,,,,1,,,,
1689,3,,,,,,,*,ECUADOR: TIXAN,-2.2,-78.9,5,6.8,10,,,,,,,,,,,,,,,,,,,,,,,,
1699,2,11,,,,,,*,BALKANS NW: SLOVENIA: LJUBLJANA,45.6,15.3,6,5,8,,2,,,,,,3,,,,,,,,,,,,,,,,
1699,7,14,9,,,,,*,PERU: LIMA,-12.1,-76.6,40,7.8,7,,,,,,,,3,,,,,,,,,,,,,,,,
1707,9,17,16,48,,,,*,PERU: CUZCO,-13,-72,10,5.8,10,160,3,,,,,,,,,,,,,,,,,,,,,,
1715,8,23,0,,,Tsu,,*,"PERU: MOQUEGUA, AREQUIPA; CHILE: ARICA",-17.3,-70.8,80,7.5,7,,1,,,,,,1,,1,,,,1,,,,,,1,,1,,
1716,2,6,,,,,,*,PERU: PUEBLO DE TORATA IN TACNA,-17.2,-71.2,40,8.8,9,,3,,,,,,1,,,,,,,,,,,,,,,,
